Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
COQ10B	chr2	198318147	198340032	+	NA	FLJ13448	coenzyme Q10B	gene with protein product	2q33.1	ENSG00000115520	NM_025147	
BNC1	chr15	83924655	83953466	-	NA	ASIC2,BNC,BSN1,HST19447	basonuclin 1	gene with protein product	15q25.2	ENSG00000169594	NM_001717	1332044
STAT3	chr17	40465342	40540586	-	CGC OG	ADMIO,ADMIO1,APRF,HIES	signal transducer and activator of transcription 3	gene with protein product	17q21.2	ENSG00000168610	NM_139276|NM_003150	7512451
PPIL4	chr6	149825869	149867174	-	NA	HDCME13P	peptidylprolyl isomerase like 4	gene with protein product	6q25.1	ENSG00000131013	NM_139126	
ANGPT1	chr8	108261721	108510283	-	NA	AGPT,ANG1,KIAA0003	angiopoietin 1	gene with protein product	8q23.1	ENSG00000154188	NM_001146|NM_139290	9545648
CCNO	chr5	54526980	54529508	-	NA	UNG2,CCNU,CILD29,UDG2,FLJ22422	cyclin O	gene with protein product	5q11.2	ENSG00000152669	NM_021147	
RPS2	chr16	2012053	2014861	-	NA	LLREP3,RPS4,S2	ribosomal protein S2	gene with protein product	16p13.3	ENSG00000140988	NM_002952	9582194
ITGB5	chr3	124480795	124606144	-	NA	NA	integrin subunit beta 5	gene with protein product	3q21.2	ENSG00000082781	NM_002213	2211615
MDFIC	chr7	114562209	114659970	+	NA	HIC,MDFIC1	MyoD family inhibitor domain containing	gene with protein product	7q31.1-q31.2	ENSG00000135272	NM_199072	10671520
CEP192	chr18	12991361	13125049	+	NA	PPP1R62,FLJ10352,KIAA1569,PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 62	centrosomal protein 192	gene with protein product	18p11.21	ENSG00000101639	NM_032142	11230166|14654843
RORB	chr9	77112281	77308093	+	NA	BA133M9.1,NR1F2,ROR-BETA,RZR-BETA,RZRB	RAR related orphan receptor B	gene with protein product	9q21.13	ENSG00000198963	NM_006914	7926749
ECI2	chr6	4115923	4135831	-	NA	ACBD2,DJ1013A10.3,DRS-1,DRS1,HCA88,PECI	enoyl-CoA delta isomerase 2	gene with protein product	6p25.2	ENSG00000198721	NM_006117	10419495
SEC14L1	chr17	75084831	75212884	+	NA	PRELID4A,SEC14L	SEC14 like lipid binding 1	gene with protein product	17q25.2-q25.3	ENSG00000129657	NM_003003	8697811|17092608|17428729|23843640
MTHFD1L	chr6	151186685	151423023	+	NA	DJ292B18.2,FTHFSDC1,MTC1THFS,DKFZP586G1517,FLJ21145	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	gene with protein product	6q25.1	ENSG00000120254	NM_015440	18804703
HCFC2	chr12	104458235	104500302	+	NA	HCF-2	host cell factor C2	gene with protein product	12q23.3	ENSG00000111727	NM_013320	10196288
RPL34	chr4	109541812	109551568	+	NA	L34	ribosomal protein L34	gene with protein product	4q25	ENSG00000109475	NM_033625|NM_000995	9582194|7490091
AKAP9	chr7	91570181	91739987	+	NA	AKAP-9,AKAP350,AKAP450,CG-NAP,HYPERION,LQT11,MU-RMS-40.16A,PPP1R45,PRKA9,YOTIAO,KIAA0803	A-kinase anchoring protein 9	gene with protein product	7q21.2	ENSG00000127914	NM_005751	9482789|10390370|24475373
DIAPH2	chrX	95939711	96859996	+	NA	DIA,DIA2,DRF2,POF2	diaphanous related formin 2	gene with protein product	Xq21.33	ENSG00000147202	NM_006729|NM_007309	9360932
RER1	chr1	2323214	2336881	+	NA	NA	retention in endoplasmic reticulum sorting receptor 1	gene with protein product	1p36.32	ENSG00000157916	NM_007033	9309388|17668005
TIMM13	chr19	2425622	2427892	-	NA	PPV1,TIM13,TIM13B,TIMM13A,TIMM13B	translocase of inner mitochondrial membrane 13	gene with protein product	19p13.3	ENSG00000099800	NM_012458	10552927|17329230
HOXA6	chr7	27185281	27190222	-	NA	HOX1.2,HOX1B,HOX1	homeobox A6	gene with protein product	7p15.2	ENSG00000106006	NM_024014	1973146|1358459
NRSN2	chr20	327764	340049	+	NA	C20ORF98,DJ1103G7.6	neurensin 2	gene with protein product	20p13	ENSG00000125841	NM_024958	16527258|26055238
RAN	chr12	131356424	131362223	+	NA	ARA24,GSP1,TC4	RAN, member RAS oncogene family	gene with protein product	12q24.33	ENSG00000132341	NM_006325	8421051
RBFA	chr18	77794358	77806392	+	NA	C18ORF22,HST169,FLJ21172	ribosome binding factor A (putative)	gene with protein product	18q23	ENSG00000101546	NM_024805	12477932
KIAA0430	chr16	15688243	15737023	-	NA	LKAP,MARF1,PPP1R34	NA	gene with protein product	16p13.11	ENSG00000166783	NM_014647	NA
ADARB1	chr21	46494515	46646475	+	NA	DRABA2,DRADA2,RED1,ADAR2A,ADAR2A-L1,ADAR2A-L2,ADAR2A-L3,ADAR2B,ADAR2C,ADAR2D,ADAR2G,HRED1,RED1 HOMOLOG (RAT)	adenosine deaminase, RNA specific B1	gene with protein product	21q22.3	ENSG00000197381	NM_015833	9143496|14759252
EIF2S3	chrX	24072833	24096088	+	NA	EIF2,EIF-2GA,EIF2G,EIF2GAMMA	eukaryotic translation initiation factor 2 subunit gamma	gene with protein product	Xp22.11	ENSG00000130741	NM_001415	8106381|9736774
RAB23	chr6	57051790	57087112	-	NA	HSPC137	RAB23, member RAS oncogene family	gene with protein product	6p12.1-p11.2	ENSG00000112210	NM_001278666	
RPN1	chr3	128339002	128399918	-	NA	PSMD2,OST1,RBPH1,OLIGOSACCHARYLTRANSFERASE COMPLEX SUBUNIT (NON-CATALYTIC)	ribophorin I	gene with protein product	3q21.3	ENSG00000163902	NM_002950	
CSE1L	chr20	47662783	47713497	+	NA	CSE1,XPO2,CELLULAR APOPTOSIS SUSCEPTIBILITY	chromosome segregation 1 like	gene with protein product	20q13.13	ENSG00000124207	NM_001316	8963895|7479798
RPL11	chr1	24018269	24022915	+	NA	DBA7,GIG34,L11	ribosomal protein L11	gene with protein product	1p36.11	ENSG00000142676	NM_000975	9582194|10343117
C14ORF147	chr14	34901995	34931562	-	NA	SPTSSA	NA	gene with protein product	14q13.1	ENSG00000165389	NM_138288	NA
SLC7A1	chr13	30083547	30169825	-	NA	ATRC1,CAT-1,ERR,HCAT1,REC1L	solute carrier family 7 member 1	gene with protein product	13q12.3	ENSG00000139514	NM_003045	1348489
GSG2	chr17	3627197	3629993	+	NA	HASPIN	NA	gene with protein product	17p13.2	ENSG00000177602	NM_031965	NA
SNX2	chr5	122110691	122165803	+	NA	TRG-9	sorting nexin 2	gene with protein product	5q23.2	ENSG00000205302	NM_003100	9819414
LDB2	chr4	16503164	16900432	-	NA	CLIM1,LDB-2,LDB1	LIM domain binding 2	gene with protein product	4p15.32	ENSG00000169744	NM_001130834	9853615|9880598|10861853
SF3B5	chr6	144416018	144416710	-	NA	SF3B10,YSF3,MGC3133	splicing factor 3b subunit 5	gene with protein product	6q24.2	ENSG00000169976	NM_031287	12234937
CCM2	chr7	45039074	45115951	+	NA	C7ORF22,OSM,PP10187,MGC4607	CCM2 scaffolding protein	gene with protein product	22q12.2	ENSG00000099985	NM_020530	9811928
EML4	chr2	42396490	42559688	+	NA	C2ORF2,ELP120,EMAP-4,EMAPL4,ROPP120	echinoderm microtubule associated protein like 4	gene with protein product	2p21	ENSG00000143924	NM_019063	
TM2D2	chr8	38846327	38854052	-	NA	BLP1	TM2 domain containing 2	gene with protein product	8p11.22	ENSG00000169490	NM_031940	11278849
ADAM9	chr8	38854545	38962663	+	NA	MCMP,CORD9,MDC9,MLTNG,KIAA0021	ADAM metallopeptidase domain 9	gene with protein product	8p11.22	ENSG00000168615	NM_003816	8647900|11581183|19409519
KHDRBS3	chr8	136469700	136659853	+	NA	ETLE,ETOILE,SALP,SLM-2,SLM2,T-STAR,TSTAR	KH RNA binding domain containing, signal transduction associated 3	gene with protein product	8q24.23	ENSG00000131773	NM_006558	10332027|10564820
TAF1	chrX	70626529	70750211	+	NA	BA2R,CCG1,CCGS,DYT3,DYT3/TAF1,MRXS33,N-TAF1,P250,TAF(II)250,TAFII-250,TAFII250,XDP	TATA-box binding protein associated factor 1	gene with protein product	Xq13.1	ENSG00000147133	NM_004606	3556424|12928496|17952504
SIM1	chr6	100832891	100912805	-	NA	BHLHE14	single-minded family bHLH transcription factor 1	gene with protein product	6q16.3	ENSG00000112246	NM_005068	9199934|11448938
MXRA8	chr1	1288072	1297157	-	NA	DKFZP586E2023,LIMITRIN	matrix remodeling associated 8	gene with protein product	1p36.33	ENSG00000162576	NM_032348	14603461
NFYB	chr12	104510855	104532067	-	NA	CBF-A,HAP3,NF-YB	nuclear transcription factor Y subunit beta	gene with protein product	12q23.3	ENSG00000120837	NM_006166	1774067|9612081
MBD3	chr19	1573595	1592800	-	NA	DPEP3	methyl-CpG binding domain protein 3	gene with protein product	19p13	ENSG00000071655	NM_003926	9774669|10441743
SWAP70	chr11	9685624	9774538	+	NA	HSPC321,SWAP-70,KIAA0640,SWITCH-ASSOCIATED PROTEIN 70	SWAP switching B-cell complex subunit 70	gene with protein product	11p15.4	ENSG00000133789	NM_015055	9734811|10681448
STT3A	chr11	125462690	125492986	+	NA	ITM1,STT3-A,TMC,MGC9042	STT3A, catalytic subunit of the oligosaccharyltransferase complex	gene with protein product	11q24.2	ENSG00000134910	NM_152713	8941377|8634329|10234787
CLN8	chr8	1711966	1749877	+	NA	C8ORF61,EPMR,FLJ39417	CLN8, transmembrane ER and ERGIC protein	gene with protein product	8p23.3	ENSG00000182372	NM_018941	10508524|23160995
RIMKLB	chr12	8834287	8935691	+	NA	FAM80B,NAAGS,NAAGS-I,KIAA1238	ribosomal modification protein rimK like family member B	gene with protein product	12p13.31	ENSG00000166532	NM_020734	10574462|20643647
INPP5K	chr17	1397865	1420182	-	NA	PPS,SKIP,SKELETAL MUSCLE AND KIDNEY ENRICHED INOSITOL PHOSPHATASE	inositol polyphosphate-5-phosphatase K	gene with protein product	17p13.3	ENSG00000132376	NM_016532	10753883|12536145
C1ORF93	chr1	2518189	2522906	+	NA	FAM213B	NA	gene with protein product	1p36.32	ENSG00000157870	NM_152371	NA
ATAD1	chr10	89511269	89577917	-	NA	AFDC1,FNP001,THORASE,FLJ14600	ATPase family, AAA domain containing 1	gene with protein product	10q23.31	ENSG00000138138	NM_032810	24843043
RAB28	chr4	13369348	13485989	-	NA	CORD18	RAB28, member RAS oncogene family	gene with protein product	4p15.33	ENSG00000157869	NM_001017979	8647132
ZNRD1	chr6	30026676	30032686	+	NA	HTEX-6,HTEX6,HZR14,RPA12,TCTEX-6,TCTEX6,TEX6,ZR14	zinc ribbon domain containing 1	gene with protein product	6p22.1	ENSG00000066379	NM_001278785	8938444|10662553
IWS1	chr2	128193783	128244194	-	NA	DKFZP761G0123,FLJ10006,FLJ14655,FLJ32319,IWS1L	IWS1, SUPT6H interacting protein	gene with protein product	2q14.3	ENSG00000163166	NM_017969	17234882
MXD4	chr4	2249159	2264021	-	NA	BHLHC12,MAD4,MST149,MSTP149	MAX dimerization protein 4	gene with protein product	4p16.3	ENSG00000123933	NM_006454	8521822
CHMP2B	chr3	87276421	87304698	+	NA	ALS17,CHMP2.5,VPS2-2,VPS2B,DKFZP564O123,VPS2 HOMOLOG B (S. CEREVISIAE)	charged multivesicular body protein 2B	gene with protein product	3p11.2	ENSG00000083937	NM_014043	11559748
CCDC90B	chr11	82970139	82997450	-	NA	MDS011,MDS025	coiled-coil domain containing 90B	gene with protein product	11q14.1	ENSG00000137500	NM_021825	11230166
GDF15	chr19	18485541	18497018	+	NA	PDF,GDF-15,MIC1,NAG-1,PLAB,PTGFB,PROSTATE DIFFERENTIATION FACTOR	growth differentiation factor 15	gene with protein product	16q22.1	ENSG00000258429	NM_022341	11895857|9593718
ADPGK	chr15	73043710	73076126	-	NA	2610017G09RIK,ADP-GK,DKFZP434B195	ADP dependent glucokinase	gene with protein product	15q24.1	ENSG00000159322	NM_031284	11230166
TRAPPC6B	chr14	39617015	39639736	-	NA	TPC6	trafficking protein particle complex 6B	gene with protein product	14q21.1	ENSG00000182400	NM_177452	
COG1	chr17	71188771	71204642	+	NA	CDG2G,LDLB,KIAA1381	component of oligomeric golgi complex 1	gene with protein product	17q25.1	ENSG00000166685	NM_018714	9927668
ZNF395	chr8	28218500	28260218	-	NA	PBF,HDBP-2,HDBP2,HDRF-2,PRF-1,PRF1,SI-1-8-14,DKFZP434K1210	zinc finger protein 395	gene with protein product	8p21.1	ENSG00000186918	NM_018660	14625278
TM2D3	chr15	102173180	102192587	-	NA	BLP2,FLJ22604	TM2 domain containing 3	gene with protein product	15q26.3	ENSG00000184277	NM_078474	11278849
C21ORF63	chr21	33784689	33887699	+	NA	EVA1C	NA	gene with protein product	21q22.11	ENSG00000166979	NM_058187	NA
GNPAT	chr1	231376956	231413719	+	NA	DAP-AT,DAPAT,DHAPAT,RCDP2,DIHYDROXYACETONE PHOSPHATE ACYLTRANSFERASE	glyceronephosphate O-acyltransferase	gene with protein product	1q42.2	ENSG00000116906	NM_001316350	9459311|9536089
GXYLT2	chr3	72937224	73026077	+	NA	GLT8D4	glucoside xylosyltransferase 2	gene with protein product	3p13	ENSG00000172986	NM_001080393	19940119
PLEKHA1	chr10	124134212	124202118	+	NA	TAPP1,TANDEM PH DOMAIN CONTAINING PROTEIN-1	pleckstrin homology domain containing A1	gene with protein product	10q26.13	ENSG00000107679	NM_001001974	11001876|15485858
P4HTM	chr3	49027319	49044587	+	NA	EGLN4,HIFPH4,P4H-TM,PH-4,PH4,PHD4,FLJ20262,HYPOXIA INDUCIBLE FACTOR PROLYL 4 HYDROXYLASE	prolyl 4-hydroxylase, transmembrane	gene with protein product	3p21.31	ENSG00000178467	NM_177938	12163023|17726031
PCBP2	chr12	53845886	53874945	+	NA	HNRNP-E2,HNRNPE2,HNRPE2,HETEROGENOUS NUCLEAR RIBONUCLEOPROTEIN E2	poly(rC) binding protein 2	gene with protein product	12q13.13	ENSG00000197111	NM_005016	8833161
SSU72	chr1	1477053	1510249	-	NA	HSPC182,PNAS-120	SSU72 homolog, RNA polymerase II CTD phosphatase	gene with protein product	1p36.33	ENSG00000160075	NM_014188	15125841|15659578
TRIP13	chr5	892758	918235	+	NA	16E1BP,PCH2,THYROID RECEPTOR INTERACTING PROTEIN 13	thyroid hormone receptor interactor 13	gene with protein product	5p15.33	ENSG00000071539	NM_004237	7776974
C3ORF23	chr3	44379944	44450943	+	NA	TCAIM	NA	gene with protein product	3p21.31	ENSG00000179152	NM_173826	NA
RRS1	chr8	67341263	67342968	+	NA	KIAA0112,RRR	ribosome biogenesis regulator homolog	gene with protein product	8q13.1	ENSG00000179041	NM_015169	10688653|19465021
ADHFE1	chr8	67344721	67381142	+	NA	ADH8,HMFT2263,HOT,ADHFE1,FLJ32430,HYDROXYACID-OXOACID TRANSHYDROGENASE	alcohol dehydrogenase, iron containing 1	gene with protein product	8q13.1	ENSG00000147576	NM_144650	12592711
TNFRSF21	chr6	47199268	47277641	-	NA	BM-018,CD358,DR6,DEATH RECEPTOR 6	TNF receptor superfamily member 21	gene with protein product	6p12.3	ENSG00000146072	NM_014452	9714541
ATF6	chr1	161736084	161933860	+	NA	ACHM7,ATF6A,ACTIVATING TRANSCRIPTION FACTOR 6 ALPHA	activating transcription factor 6	gene with protein product	1q23.3	ENSG00000118217	NM_007348	9837962|9271374|11256944
PAIP2	chr5	138677521	138705387	+	NA	PAIP-2,PAIP2A	poly(A) binding protein interacting protein 2	gene with protein product	5q31.2	ENSG00000120727	NM_016480	11172725|16804161
PAK2	chr3	196466728	196559518	+	NA	PAK65,PAKGAMMA,PKN2,S6/H4 KINASE	p21 (RAC1) activated kinase 2	gene with protein product	1p22.2	ENSG00000065243	NM_006256	7744004|7618083
DCLK2	chr4	150999426	151178609	+	NA	CL2,CLICK-II,CLICK2,CLIK2,DCAMKL2,DCDC3,DCDC3B,DCK2,MGC45428	doublecortin like kinase 2	gene with protein product	4q31.23-q31.3	ENSG00000170390	NM_001040260	12477932
SUN2	chr22	39131914	39190148	-	NA	UNC84B,FRIGG,KIAA0668,RAB5IP	Sad1 and UNC84 domain containing 2	gene with protein product	22q13.1	ENSG00000100242	XM_039332	10508607|10375507
PDS5A	chr4	39824483	39979576	-	NA	PIG54,SCC-112,SCC112,KIAA0648,GN   PDS5	PDS5 cohesin associated factor A	gene with protein product	4p14	ENSG00000121892	NM_015200	11076961|15855230|24141881
LRP12	chr8	105501459	105601252	-	NA	ST7,FLJ12929	LDL receptor related protein 12	gene with protein product	7q31.2	ENSG00000004866	NM_021908	12809483|14676824
MBOAT2	chr2	8992820	9143942	-	NA	LPAAT,LPCAT4,LPEAT,LPLAT 2,OACT2,FLJ14415,FLJ90298	membrane bound O-acyltransferase domain containing 2	gene with protein product	2p25.1	ENSG00000143797	NM_138799	
RBX1	chr22	41347363	41369313	+	NA	ROC1,BA554C12.1,RNF75,REGULATOR OF CULLINS 1	ring-box 1	gene with protein product	22q13.2	ENSG00000100387	NM_014248	10213691|10230407
TCF7L1	chr2	85360533	85537511	+	NA	TCF-3,TCF3	transcription factor 7 like 1	gene with protein product	2p11.2	ENSG00000152284	NM_031283	1741298|11085512
PTGR1	chr9	114325247	114362135	-	NA	LTB4DH,ZADH3	prostaglandin reductase 1	gene with protein product	9q31.3	ENSG00000106853	NM_001146108	8576264|17449869
FASTK	chr7	150773716	150777953	-	NA	FAST	Fas activated serine/threonine kinase	gene with protein product	7q36.1	ENSG00000164896	NM_006712	7544399|15572676
TBC1D8	chr2	101706715	101869328	-	NA	VRP,GRAMD8,HBLP1,TBC1D8A,VASCULAR RAB-GAP/TBC-CONTAINING PROTEIN	TBC1 domain family member 8	gene with protein product	2q11.2	ENSG00000204634	NM_007063	10373574
SCARF2	chr22	20779105	20792113	-	NA	NSR1,SREC-II,SREC2,SRECRP-1,VDEGS,HUMZD58C02	scavenger receptor class F member 2	gene with protein product	22q11.21	ENSG00000244486	NM_153334	12154095
INSIG2	chr2	118846050	118868573	+	NA	INSIG-2	insulin induced gene 2	gene with protein product	2q14.1-q14.2	ENSG00000125629	NM_016133	12242332
BRCA1	chr17	41196312	41277387	-	CGC TSG	BRCAI,BROVCA1,FANCS,IRIS,PNCA4,PPP1R53,PSCP,RNF53,FANCONI ANEMIA, COMPLEMENTATION GROUP S	BRCA1, DNA repair associated	gene with protein product	17q21.31	ENSG00000012048	NM_007294	1676470|25472942
TPI1	chr12	6976283	6980112	+	NA	HEL-S-49,TPI,TPID	triosephosphate isomerase 1	gene with protein product	12p13.31	ENSG00000111669	NM_000365	
LRP4	chr11	46878419	46940173	-	NA	CLSS,CMS17,LRP-4,LRP10,SOST2,CORIN,KIAA0816	LDL receptor related protein 4	gene with protein product	14q11.2	ENSG00000197324	NM_014045	9693030
AGAP3	chr7	150782954	150841521	+	NA	AGAP-3,CENTG3,CNT-G3,CRAG,MRIP-1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	gene with protein product	7q36.1	ENSG00000133612	NM_031946	
LARP6	chr15	71121469	71146498	-	NA	ACHN,ACHERON,FLJ11196	La ribonucleoprotein domain family member 6	gene with protein product	15q23	ENSG00000166173	NM_018357	12477932
MAEA	chr4	1283639	1333925	+	NA	EMLP,EMP,GID9,HLC-10,GID COMPLEX SUBUNIT 9, FYV10 HOMOLOG (S. CEREVISIAE)	macrophage erythroblast attacher	gene with protein product	4p16.3	ENSG00000090316	NM_005882	9763581
ZDHHC2	chr8	17013538	17082308	+	NA	DHHC2,ZNF372,REC,REAM	zinc finger DHHC-type containing 2	gene with protein product	8p22	ENSG00000104219	NM_016353	10918388
CTNNAL1	chr9	111704851	111775809	-	NA	ALPHA-CATU,CLLP,ALPHA2-CATULIN	catenin alpha like 1	gene with protein product	9q31.3	ENSG00000119326	NM_003798	9806841
COX18	chr4	73918079	73935458	-	NA	COX18HS,FLJ38991,OXA1L2	COX18, cytochrome c oxidase assembly factor	gene with protein product	4q13.3	ENSG00000163626	NM_173827	16212937|16911509|28330871
MRPS30	chr5	44809027	44815624	+	NA	MRP-S30,PDCD9,S30MT	mitochondrial ribosomal protein S30	gene with protein product	5p12	ENSG00000112996	NM_016640	10640817|11279123
POLR1B	chr2	113299492	113334727	+	NA	RPA135,RPA2,RPO1-2,FLJ10816,FLJ21921	RNA polymerase I subunit B	gene with protein product	1p35.3	ENSG00000117748	NM_002946	
RNPEPL1	chr2	241508104	241520789	+	NA	AMINOPEPTIDASE B-LIKE 1	arginyl aminopeptidase like 1	gene with protein product	2q37.3	ENSG00000142327	NM_018226	19508204
EHD4	chr15	42188137	42264776	-	NA	HCA10,PAST4,GN   HCA11,GN   PAST4	EH domain containing 4	gene with protein product	15q15.1	ENSG00000103966	NM_139265	10673336|11533061
TAF12	chr1	28929362	28969578	-	NA	TAF2J,TAFII20,TAF15	TATA-box binding protein associated factor 12	gene with protein product	17q12	ENSG00000270647	NM_139215	7729427
KIF2A	chr5	61602033	61833076	+	NA	HK2,CDCBM3,KNS2,KIF2	kinesin family member 2A	gene with protein product	5q12.1	ENSG00000068796	NM_004520	9177777
STRADA	chr17	61780202	61819330	-	NA	LYK5,NY-BR-96,PMSE,STLK,STRAD,STE20-LIKE PSEUDOKINASE	STE20-related kinase adaptor alpha	gene with protein product	17q23.3	ENSG00000266173	NM_001003786	12805220|17921699
SC5DL	chr11	121163162	121179403	+	NA	SC5D	NA	gene with protein product	11q23.3-q24.1	ENSG00000109929	NM_001024956	NA
CEP120	chr5	122680580	122759286	-	NA	CCDC100,SRTD13,FLJ36090	centrosomal protein 120	gene with protein product	5q23.2	ENSG00000168944	NM_153223	17920017
CYP4V2	chr4	187112674	187131955	+	NA	BCD,CYP4AH1	cytochrome P450 family 4 subfamily V member 2	gene with protein product	4q35.1-q35.2	ENSG00000145476	NM_207352	15042513
TBC1D9	chr4	141541919	141677274	-	NA	GRAMD9,KIAA0882,TBC1D9A	TBC1 domain family member 9	gene with protein product	4q31.21	ENSG00000109436	NM_015130	12970790
CSTF3	chr11	33106130	33183011	-	NA	CSTF-77	cleavage stimulation factor subunit 3	gene with protein product	11p13	ENSG00000176102	NM_001326	7984242
GRPEL1	chr4	7060633	7069924	-	NA	GRPE,HMGE,MT-GRPE#1,FLJ25609,GREPEL1	GrpE like 1, mitochondrial	gene with protein product	4p16.1	ENSG00000109519	NM_025196	11311562|12840016
SRM	chr1	11114646	11120081	-	NA	SPDSY,SPS1,SRML1,SRMS	spermidine synthase	gene with protein product	20q13.33	ENSG00000125508	NM_080823	2344393
GPT2	chr16	46918290	46965209	+	NA	ALT2,GPT 2,MRT49,AAT2,ALANINE AMINOTRANSFERASE 2	glutamic--pyruvic transaminase 2	gene with protein product	16q11.2	ENSG00000166123	NM_001142466	
PACS1	chr11	65837925	66012218	+	NA	MRD17,SHMS,FLJ10209,KIAA1175	phosphofurin acidic cluster sorting protein 1	gene with protein product	11q13.1-q13.2	ENSG00000175115	NM_018026	12855553|14608369
CISD2	chr4	103790135	103810399	+	NA	ERIS,MINER1,NAF-1,WFS2,ZCD2,CDGSH2	CDGSH iron sulfur domain 2	gene with protein product	4q24	ENSG00000145354	NM_001008388	17376863|17584744|17846994
IRX1	chr5	3596168	3601517	+	NA	IRX-5,IRXA1	iroquois homeobox 1	gene with protein product	5p15.33	ENSG00000170549	NM_024337	
NFIC	chr19	3359561	3469215	+	NA	CTF,CTF5,NF-I,NFI	nuclear factor I C	gene with protein product	19p13.3	ENSG00000141905	NM_005597	3398920|7590749
AHCYL2	chr7	128864864	129070052	+	NA	ADOHCYASE3,IRBIT2,KIAA0828	adenosylhomocysteinase like 2	gene with protein product	7q32.1	ENSG00000158467	NM_001130720	
SBF2	chr11	9800214	10315754	-	NA	CMT4B2,DENND7B,MTMR13,KIAA1766	SET binding factor 2	gene with protein product	11p15.4	ENSG00000133812	NM_030962	10644431
ZBTB25	chr14	64915824	64971931	-	NA	C14ORF51,KUP,ZNF46	zinc finger and BTB domain containing 25	gene with protein product	14q23.3	ENSG00000089775	NM_006977	
ZBTB1	chr14	64971292	65000408	+	NA	ZNF909,KIAA0997	zinc finger and BTB domain containing 1	gene with protein product	14q23.3	ENSG00000126804	NM_001123329	10231032
UBE2G2	chr21	46188495	46221934	-	NA	UBC7	ubiquitin conjugating enzyme E2 G2	gene with protein product	21q22.3	ENSG00000184787	NM_182688	9693041|9925943
MALT1	chr18	56338618	56421709	+	CGC OG	IMD12,MLT,MLT1,PCASP1	MALT1 paracaspase	gene with protein product	18q21.32	ENSG00000172175	NM_006785	10339464|10406266|10523859|11090634|26377317
PGM2	chr4	37828255	37864558	+	NA	MSTP006,FLJ10983,PHOSPHOPENTOMUTASE	phosphoglucomutase 2	gene with protein product	4p14	ENSG00000169299	NM_018290	9549096
TAPBP	chr6	33267471	33282164	-	NA	NGS17,TAPA,TPN,TPSN,TAPASIN	TAP binding protein	gene with protein product	6p21.32	ENSG00000231925	NM_003190	9238042
ZBTB22	chr6	33282183	33285719	-	NA	BING1,FRU,FRUITLESS,ZBTB22A,ZNF297,ZNF297A	zinc finger and BTB domain containing 22	gene with protein product	6p21.3	ENSG00000236104	NM_001145338	
DNAJA2	chr16	46989274	47007699	-	NA	CPR3,DJ3,DJA2,DNJ3,HIRIP4,PRO3015,RDJ2	DnaJ heat shock protein family (Hsp40) member A2	gene with protein product	16q11.2	ENSG00000069345	NM_005880	9710638|11147971
MAPKAPK3	chr3	50649339	50686720	+	NA	3PK,MAPKAP-K3,MAPKAP3,MAPKAPK-3,MDPT3,MK-3	mitogen-activated protein kinase-activated protein kinase 3	gene with protein product	3p21.2	ENSG00000114738	NM_004635	8626550|8622688
PDXDC1	chr16	15068869	15233196	+	NA	LP8165,KIAA0251	pyridoxal dependent decarboxylase domain containing 1	gene with protein product	16p13.11	ENSG00000179889	NM_015027	
ABHD2	chr15	89631381	89745591	+	NA	HS1-2,LABH2,PHPS1-2	abhydrolase domain containing 2	gene with protein product	15q26.1	ENSG00000140526	NM_007011	
RTF1	chr15	41709302	41775761	+	NA	GTL7,KIAA0252	RTF1 homolog, Paf1/RNA polymerase II complex component	gene with protein product	15q15.1	ENSG00000137815	NM_015138	15632063|17576814
KCNMB4	chr12	70760056	70828072	+	NA	BIG POTASSIUM CHANNEL BETA SUBUNIT 4	potassium calcium-activated channel subfamily M regulatory beta subunit 4	gene with protein product	12q15	ENSG00000135643	NM_014505	10692449|10828459
TMUB1	chr7	150778167	150780633	-	NA	HOPS,C7ORF21,DULP,SB144	transmembrane and ubiquitin like domain containing 1	gene with protein product	7q36.1	ENSG00000164897	NM_031434	
ARNT	chr1	150782181	150849244	-	CGC TSG/OG	BHLHE2,HIF-1-BETA,HIF-1BETA,HIF1-BETA,HIF1B,HIF1BETA,MIA3	aryl hydrocarbon receptor nuclear translocator	gene with protein product	1q41	ENSG00000154305	NM_198551	
SP9	chr2	175199674	175203220	+	NA	ZNF990,ZINC FINGER PROTEIN 990	Sp9 transcription factor	gene with protein product	2q31.1	ENSG00000217236	NM_001145250	
LGALS3	chr14	55595762	55612121	+	NA	CBP35,GAL3,GALBP,GALIG,LGALS2,MAC2,MAC-2	galectin 3	gene with protein product	14q22.3	ENSG00000131981	NM_002306	2009535|8063692
ABHD5	chr3	43732362	43760541	+	NA	CGI58,IECN2,NCIE2,CGI-58	abhydrolase domain containing 5	gene with protein product	3p21.33	ENSG00000011198	NM_016006	11590543|18606822
G2E3	chr14	31028329	31089269	+	NA	KIAA1333,PHF7B,FLJ20333	G2/M-phase specific E3 ubiquitin protein ligase	gene with protein product	14q12	ENSG00000092140	NM_017769	18511420|17239372
